TIME,JOGADOR,CLASSIFICACAO
Athletico-PR,LUIZ GUSTAVO,VOLANTE
Athletico-PR,ZAPELLI,MEIA
Athletico-PR,JADSON,VOLANTE
Athletico-PR,JOÃO CRUZ,VOLANTE
Athletico-PR,RAUL,VOLANTE
Athletico-PR,FELIPINHO,MEIA
Athletico-PR,ALEJANDRO GARCIA,MEIA
Athletico-PR,PORTILLA,VOLANTE
Athletico-PR,ÉLAN RICARDO,
Athletico-PR,BRUNINHO,MEIA
Athletico-PR,FELIPE CHIQUETI,MEIA
Athletico-PR,DUDU,MEIA
Athletico-PR,RIQUELME,VOLANTE
Atlético-MG,GUSTAVO SCARPA,MEIA
Atlético-MG,ALEXSANDER,VOLANTE
Atlético-MG,MAYCON,VOLANTE
Atlético-MG,VICTOR HUGO,MEIA
Atlético-MG,IGOR GOMES,MEIA
Atlético-MG,BERNARD,MEIA
Atlético-MG,PATRICK,VOLANTE
Atlético-MG,REINIER,MEIA
Atlético-MG,MATEUS ISEPPE,MEIA
Atlético-MG,INDIO,MEIA
Atlético-MG,CISSÉ,MEIA
Bahia,JEAN LUCAS,VOLANTE
Bahia,EVERTON RIBEIRO,MEIA
Bahia,CAIO ALEXANDRE,VOLANTE
Bahia,CAULY,MEIA
Bahia,ERICK,VOLANTE
Bahia,RODRIGO NESTOR,MEIA
Bahia,ACEVEDO,VOLANTE
Bahia,MICHEL ARAUJO,MEIA
Bahia,REZENDE,VOLANTE
Botafogo,DANILO,VOLANTE
Botafogo,MONTORO,MEIA
Botafogo,SANTIAGO RODRIGUEZ,MEIA
Botafogo,ALLAN,VOLANTE
Botafogo,BARRERA,MEIA
Botafogo,NEWTON,VOLANTE
Botafogo,WALLACE DAVI,VOLANTE
Botafogo,ARTHUR NOVAES,MEIA
Chapecoense,HIGOR MERITÃO,VOLANTE
Chapecoense,JEAN CARLOS,MEIA
Chapecoense,RAFAEL CARVALHEIRA,VOLANTE
Chapecoense,CAMILO,VOLANTE
Chapecoense,GIOVANNI AUGUSTO,MEIA
Chapecoense,ROBERT,MEIA
Chapecoense,JOÃO VITOR,MEIA
Chapecoense,DAVID,MEIA
Corinthians,BRENO BIDON,MEIA
Corinthians,GARRO,MEIA
Corinthians,RANIELE,VOLANTE
Corinthians,CARRILLO,VOLANTE
Corinthians,JOSÉ MARTÍNEZ,VOLANTE
Corinthians,ANDRÉ,VOLANTE
Corinthians,MATHEUS PEREIRA,VOLANTE
Corinthians,CHARLES,VOLANTE
Corinthians,KAYKE,MEIA
Corinthians,DIEGUINHO,MEIA
Corinthians,RYAN,VOLANTE
Corinthians,BAHIA,MEIA
Coritiba,WILLIAN OLIVEIRA,VOLANTE
Coritiba,FERNANDO SOBRAL,VOLANTE
Coritiba,JOSUÉ,MEIA
Coritiba,GUSTAVO,MEIA
Coritiba,SEBASTIÁN GÓMEZ,VOLANTE
Coritiba,WALLISSON,MEIA
Coritiba,VINI PAULISTA,MEIA
Coritiba,JEAN GABRIEL,MEIA
Coritiba,RUA ASSIS,MEIA
Coritiba,MATHEUS DIAS,MEIA
Cruzeiro,MATHEUS PEREIRA,MEIA
Cruzeiro,GERSON,VOLANTE
Cruzeiro,LUCAS ROMERO,VOLANTE
Cruzeiro,CHRISTIAN,VOLANTE
Cruzeiro,LUCAS SILVA,VOLANTE
Cruzeiro,MATHEUS HENRIQUE,VOLANTE
Cruzeiro,WALACE,VOLANTE
Cruzeiro,RODRIGUINHO,MEIA
Cruzeiro,JAPA,MEIA
Cruzeiro,MURILO RHIKMAN,VOLANTE
Cruzeiro,RYAN GUILHERME,MEIA
Cruzeiro,VITINHO,MEIA
Cruzeiro,CAUAN BAPTISTELLA,MEIA
Cruzeiro,RHUAN GABRIEL,MEIA
Flamengo,ARRASCAETA,MEIA
Flamengo,LUCAS PAQUETÁ,MEIA
Flamengo,CARRASCAL,MEIA
Flamengo,JORGINHO,VOLANTE
Flamengo,ERICK PULGAR,VOLANTE
Flamengo,DE LA CRUZ,VOLANTE
Flamengo,SAÚL,VOLANTE
Flamengo,ALLAN,VOLANTE
Flamengo,EVERTTON ARAÚJO,VOLANTE
Flamengo,GUILHERME GOMES,MEIA
Flamengo,JOSHUA,MEIA
Flamengo,PABLO LÚCIO,MEIA
Fluminense,LUCHO ACOSTA,MEIA
Fluminense,SAVARINO,MEIA
Fluminense,MARTINELLI,VOLANTE
Fluminense,NONATO,VOLANTE
Fluminense,HÉRCULES,VOLANTE
Fluminense,LIMA,MEIA
Fluminense,GANSO,MEIA
Fluminense,OTÁVIO,VOLANTE
Fluminense,LEZCANO,MEIA
Fluminense,BERNAL,VOLANTE
Grêmio,ARTHUR MELO,VOLANTE
Grêmio,VILLASANTI,VOLANTE
Grêmio,EDENÍLSON,MEIA
Grêmio,CRISTALDO,MEIA
Grêmio,CUÉLLAR,VOLANTE
Grêmio,MONSALVE,MEIA
Grêmio,WILLAN,MEIA
Grêmio,DODI,VOLANTE
Grêmio,RIQUELME,MEIA
Grêmio,RONALD,VOLANTE
Grêmio,TIAGUINHO,MEIA
Inter,ALAN PATRICK,MEIA
Inter,VILLAGRA,MEIA
Inter,THIAGO MAIA,VOLANTE
Inter,ALAN RORIGUEZ,MEIA
Inter,BRUNO HENRIQUE,VOLANTE
Inter,BRUNO TABATA,MEIA
Inter,PAULINHO,VOLANTE
Inter,RICHARD,VOLANTE
Inter,GUSTAVO PRADO,MEIA
Inter,RONALDO,VOLANTE
Inter,ALLEX,MEIA
Mirassol,EDUARDO,MEIA
Mirassol,LUCAS MUGNI,MEIA
Mirassol,YURI LARA,VOLANTE
Mirassol,SHAYLON,MEIA
Mirassol,DENILSON,VOLANTE
Mirassol,NETO MOURA,VOLANTE
Mirassol,ALDO FILHO,VOLANTE
Palmeiras,ANDREAS PEREIRA,MEIA
Palmeiras,ALLAN,MEIA
Palmeiras,FELIPE ANDERSON,MEIA
Palmeiras,MARLON FREITAS,VOLANTE
Palmeiras,LUCAS EVANGELISTA,VOLANTE
Palmeiras,MAURÍCIO,MEIA
Palmeiras,EMILIANO MARTINEZ,VOLANTE
Palmeiras,LARSON,MEIA
Palmeiras,LUIS PACHECO,MEIA
RB Bragantino,GUSTAVINHO,
RB Bragantino,GABRIEL,VOLANTE
RB Bragantino,IGNACIO SOSA,MEIA
RB Bragantino,ERIC RAMIRES,VOLANTE
RB Bragantino,MATHEUS FERNANDES,VOLANTE
RB Bragantino,PRAXEDES,MEIA
RB Bragantino,FABINHO,VOLANTE
RB Bragantino,RODRIGUINHO,MEIA
RB Bragantino,MARCELINHO,MEIA
RB Bragantino,NATHAN CAMARGO,MEIA
Remo,VITOR BUENO,MEIA
Remo,YAGO PIKACHU,MEIA
Remo,CATAROZZI,VOLANTE
Remo,PICCO,MEIA
Remo,CANTILLO,VOLANTE
Remo,PATRICK DE PAULA,VOLANTE
Remo,PATRICK,VOLANTE
Remo,JOSÉ WELISON,VOLANTE
Remo,DIEGO HERNÁNDEZ,MEIA
Remo,JÁDERSON,MEIA
Remo,PANAGIOTIS TACHTSIDIS,VOLANTE
Remo,GIOVANNI PAVANI,MEIA
Remo,ZÉ RICARDO,VOLANTE
Remo,DODÔ,
Remo,YAGO FERREIRA,MEIA
Santos,NEYMAR,MEIA
Santos,BARREAL,MEIA
Santos,GABRIEL MENINO,VOLANTE
Santos,ZÉ RAFAEL,VOLANTE
Santos,ROLLHEISER,MEIA
Santos,WILLIAN ARÃO,VOLANTE
Santos,JOÃO SCHMIDT,VOLANTE
Santos,THACIANO,MEIA
Santos,MIGUELITO,MEIA
Santos,GABRIEL BONTEMPO,VOLANTE
Santos,RINCÓN,VOLANTE
Santos,GUSTAVO HENRIQUE,MEIA
São Paulo,BOBADILLA,MEIA
São Paulo,LUCAS MOURA,MEIA
São Paulo,MARCOS ANTÔNIO,
São Paulo,DANIELZINHO,VOLANTE
São Paulo,ALISSON,MEIA
São Paulo,PABLO MAIA,VOLANTE
São Paulo,LUAN VINÍCIUS,VOLANTE
São Paulo,FELIEPE NEGRUCCI,VOLANTE
São Paulo,PEDRO FERREIRA,MEIA
Vasco,COUTINHO,MEIA
Vasco,THIAGO MENDES,VOLANTE
Vasco,BARROS,VOLANTE
Vasco,NUNO MOREIRA,MEIA
Vasco,JAIR,VOLANTE
Vasco,TCHÊ TCHÊ,VOLANTE
Vasco,JOHAN ROJAS,MEIA
Vasco,HUGO MOURA,VOLANTE
Vasco,GARRÉ,MEIA
Vasco,MATEUS CARVALHO,VOLANTE
Vasco,ADSON,MEIA
Vasco,MATHEUS FRANÇA,MEIA
Vasco,GUILHERME ESTRELLA,MEIA
Vasco,JP,MEIA
Vitória,BARALHAS,VOLANTE
Vitória,MATHEUZINHO,MEIA
Vitória,CANTALAPIEDRA,MEIA
Vitória,CAÍQUE,VOLANTE
Vitória,EMMANUEL MARTINEZ,MEIA
Vitória,RONALD LOPES,VOLANTE
Vitória,RÚBEN ISMAEL,VOLANTE
Vitória,DUDU,VOLANTE
Vitória,EDENÍLSON,VOLANTE
Vitória,FELIPE CARDOSO,MEIA
Vitória,ZÉ BRENO,VOLANTE
